case_id;activity;timestamp;resource;currency_pair;option_type;booking_system;client_type;trading_strategy;strike_price;premium;notional_amount;delta;gamma;vega;theta;risk_score;limit_usage
Case_1;Trade Initiated;2024-11-09 19:18:10.387330;Client Desk D;USD/CHF;Vanilla Put;Internal;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_1;Trade Execution;2024-11-10 00:24:10.387330;Client Desk D;USD/CHF;Vanilla Put;Internal;Hedge Fund;Vol Surface Trading;1.0579;0.0407;49838328.0;;;;;;
Case_1;Volatility Surface Analysis;2024-11-09 20:30:10.387330;Client Desk D;USD/CHF;Vanilla Put;Internal;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_1;Quote Provided;2024-11-09 20:53:10.387330;Client Desk D;USD/CHF;Vanilla Put;Internal;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_1;Exercise Decision;2024-11-09 21:10:10.387330;Client Desk D;USD/CHF;Vanilla Put;Internal;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_1;Trade Transparency Assessment;2024-11-09 21:28:10.387330;Client Desk D;USD/CHF;Vanilla Put;Internal;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_1;Premium Calculation;2024-11-09 21:39:10.387330;Client Desk D;USD/CHF;Vanilla Put;Internal;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_1;Strategy Validation;2024-11-09 22:38:10.387330;Client Desk D;USD/CHF;Vanilla Put;Internal;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_1;Quote Requested;2024-11-09 22:58:10.387330;Client Desk D;USD/CHF;Vanilla Put;Internal;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_1;Position Reconciliation;2024-11-09 22:59:10.387330;Client Desk D;USD/CHF;Vanilla Put;Internal;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_1;Trade Reconciliation;2024-11-09 23:18:10.387330;Client Desk D;USD/CHF;Vanilla Put;Internal;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_1;Premium Settlement;2024-11-09 23:50:10.387330;Client Desk D;USD/CHF;Vanilla Put;Internal;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_1;Collateral Management;2024-11-10 00:06:10.387330;Client Desk D;USD/CHF;Vanilla Put;Internal;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_1;Risk Assessment;2024-11-10 00:17:10.387330;Client Desk D;USD/CHF;Vanilla Put;Internal;Hedge Fund;Vol Surface Trading;;;;;;;;2.2;34%
Case_1;Best Execution Validation;2024-11-10 02:46:10.387330;Client Desk D;USD/CHF;Vanilla Put;Internal;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_1;Credit Check;2024-11-10 03:18:10.387330;Client Desk D;USD/CHF;Vanilla Put;Internal;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_1;Greeks Calculation;2024-11-10 03:38:10.387330;Client Desk D;USD/CHF;Vanilla Put;Internal;Hedge Fund;Vol Surface Trading;;;;-0.83;0.199;6276.64;-367.54;;
Case_1;Client Limit Validation;2024-11-10 04:00:10.387330;Client Desk D;USD/CHF;Vanilla Put;Internal;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_1;Trade Allocation;2024-11-10 04:03:10.387330;Client Desk D;USD/CHF;Vanilla  Put;Internal;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_1;Initial Margin Calculation;2024-11-10 05:18:10.387330;Client Desk D;USD/CHF;Vanilla Put;Internal;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_1;Trade Validation;2024-11-10 05:45:10.387330;Client Desk D;USD/CHF;Vanilla Put;Internal;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_1;Regulatory Reporting Generation;2024-11-10 06:08:10.387330;Client Desk D;USD/CHF;Vanilla Put;Internal;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_1;Settlement Instructions;2024-11-10 06:42:10.387330;Client Desk D;USD/CHF;Vanilla Put;Internal;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_1;Trade Matching;2024-11-10 07:46:10.387330;Client Desk D;USD/CHF;Vanilla Put;Internal;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_1;ISDA Master Agreement Check;2024-11-10 09:15:10.387330;Client Desk D;USD/CHF;Vanilla Put;Internal;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_1;Final Settlement;2024-11-10 11:30:10.387330;Client Desk D;USD/CHF;Vanilla Put;Internal;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_1;KYC Refresh Check;2024-11-10 12:48:10.387330;Client Desk D;USD/CHF;Vanilla Put;Internal;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_1;Trade Confirmation;2024-11-10 13:40:10.387330;Client Desk D;USD/CHF;Vanilla Put;Internal;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_1;Transaction Reporting Check;2024-11-10 18:06:10.387330;Client Desk D;USD/CHF;Vanilla Put;Internal;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_1;CSA Verification;2024-11-10 22:22:10.387330;Client Desk D;USD/CHF;Vanilla Put;Internal;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_10;Trade Initiated;2024-10-24 19:18:10.387883;Client Desk D;EUR/USD;Strangle;Summit;Hedge Fund;Vega Trading;;;;;;;;;
Case_10;Volatility Surface Analysis;2024-10-24 19:50:10.387883;Client Desk D;EUR/USD;Strangle;Summit;Hedge Fund;Vega Trading;;;;;;;;;
Case_10;Market Data Validation;2024-10-24 19:53:10.387883;Client Desk D;EUR/USD;Strangle;Summit;Hedge Fund;Vega Trading;;;;;;;;;
Case_10;Collateral Management;2024-10-24 21:02:10.387883;Client Desk D;EUR/USD;Strangle;Summit;Hedge Fund;Vega Trading;;;;;;;;;
Case_10;Quote Requested;2024-10-24 21:26:10.387883;Client Desk D;EUR/USD;Strangle;Summit;Hedge Fund;Vega Trading;;;;;;;;;
Case_10;Premium Calculation;2024-10-24 21:48:10.387883;Client Desk D;EUR/USD;Strangle;Summit;Hedge Fund;Vega Trading;;;;;;;;;
Case_10;Trade Execution;2024-10-24 21:48:10.387883;Client Desk D;EUR/USD;Strangle;Summit;Hedge Fund;Vega Trading;0.9924;0.0439;41599168.0;;;;;;
Case_10;Trade Transparency Assessment;2024-10-24 22:03:10.387883;Client Desk D;EUR/USD;Strangle;Summit;Hedge Fund;Vega Trading;;;;;;;;;
Case_10;Quote Provided;2024-10-24 22:38:10.387883;Client Desk D;EUR/USD;Strangle;Summit;Hedge Fund;Vega Trading;;;;;;;;;
Case_10;Greeks Calculation;2024-10-24 22:59:10.387883;Client Desk D;EUR/USD;Strangle;Summit;Hedge Fund;Vega Trading;;;;0.98;0.191;4505.38;-799.57;;
Case_10;Exercise Decision;2024-10-24 23:18:10.387883;Client Desk D;EUR/USD;Strangle;Summit;Hedge Fund;Vega Trading;;;;;;;;;
Case_10;Best Execution Validation;2024-10-24 23:30:10.387883;Client Desk D;EUR/USD;Strangle;Summit;Hedge Fund;Vega Trading;;;;;;;;;
Case_10;Initial Margin Calculation;2024-10-25 01:38:10.387883;Client Desk D;EUR/USD;Strangle;Summit;Hedge Fund;Vega Trading;;;;;;;;;
Case_10;Trade Matching;2024-10-25 03:42:10.387883;Client Desk D;EUR/USD;Strangle;Summit;Hedge Fund;Vega Trading;;;;;;;;;
Case_10;Strategy Validation;2024-10-25 03:51:10.387883;Client Desk D;EUR/USD;Strangle;Summit;Hedge Fund;Vega Trading;;;;;;;;;
Case_10;Credit Check;2024-10-25 03:58:10.387883;Client Desk D;EUR/USD;Strangle;Summit;Hedge Fund;Vega Trading;;;;;;;;;
Case_10;Premium Settlement;2024-10-25 04:18:10.387883;Client Desk D;EUR/USD;Strangle;Summit;Hedge Fund;Vega Trading;;;;;;;;;
Case_10;Trade Reconciliation;2024-10-25 04:28:10.387883;Client Desk D;EUR/USD;Strangle;Summit;Hedge Fund;Vega Trading;;;;;;;;;
Case_10;Final Settlement;2024-10-25 05:18:10.387883;Client Desk D;EUR/USD;Strangle;Summit;Hedge Fund;Vega Trading;;;;;;;;;
Case_10;Trade Allocation;2024-10-25 06:51:10.387883;Client Desk D;EUR/USD;Strangle;Summit;Hedge Fund;Vega Trading;;;;;;;;;
Case_10;Trade Confirmation;2024-10-25 07:50:10.387883;Client Desk D;EUR/USD;Strangle;Summit;Hedge Fund;Vega Trading;;;;;;;;;
Case_10;Position Reconciliation;2024-10-25 08:50:10.387883;Client Desk D;EUR/USD;Strangle;Summit;Hedge Fund;Vega Trading;;;;;;;;;
Case_10;Risk Assessment;2024-10-25 11:01:10.387883;Client Desk D;EUR/USD;Strangle;Summit;Hedge Fund;Vega Trading;;;;;;;;1.78;91%
Case_10;Settlement Instructions;2024-10-25 11:12:10.387883;Client Desk D;EUR/USD;Strangle;Summit;Hedge Fund;Vega Trading;;;;;;;;;
Case_10;Client Limit Validation;2024-10-25 11:15:10.387883;Client Desk D;EUR/USD;Strangle;Summit;Hedge Fund;Vega Trading;;;;;;;;;
Case_10;Transaction Reporting Check;2024-10-25 12:32:10.387883;Client Desk D;EUR/USD;Strangle;Summit;Hedge Fund;Vega Trading;;;;;;;;;
Case_10;KYC Refresh Check;2024-10-25 12:48:10.387883;Client Desk D;EUR/USD;Strangle;Summit;Hedge Fund;Vega Trading;;;;;;;;;
Case_10;ISDA Master Agreement Check;2024-10-25 12:51:10.387883;Client Desk D;EUR/USD;Strangle;Summit;Hedge Fund;Vega Trading;;;;;;;;;
Case_10;Trade Validation;2024-10-25 13:13:10.387883;Client Desk D;EUR/USD;Strangle;Summit;Hedge Fund;Vega Trading;;;;;;;;;
Case_10;Regulatory Reporting Generation;2024-10-25 14:22:10.387883;Client Desk D;EUR/USD;Strangle;Summit;Hedge Fund;Vega Trading;;;;;;;;;
Case_10;CSA Verification;2024-10-25 21:26:10.387883;Client Desk D;EUR/USD;Strangle;Summit;Hedge Fund;Vega Trading;;;;;;;;;
Case_100;Trade Initiated;2024-11-11 19:18:10.397557;Client Desk D;USD/CHF;Vanilla Call;Summit;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_100;Market Data Validation;2024-11-11 20:04:10.397557;Client Desk D;USD/CHF;Vanilla Call;Summit;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_100;Trade Execution;2024-11-11 20:48:10.397557;Client Desk D;USD/CHF;Vanilla Call;Summit;Hedge Fund;Vol Surface Trading;1.0177;0.0477;33115519.0;;;;;;
Case_100;Quote Requested;2024-11-11 20:50:10.397557;Client Desk D;USD/CHF;Vanilla Call;Summit;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_100;Volatility Surface Analysis;2024-11-11 20:56:10.397557;Client Desk D;USD/CHF;Vanilla Call;Summit;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_100;Position Reconciliation;2024-11-11 21:10:10.397557;Client Desk D;USD/CHF;Vanilla Call;Summit;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_100;Premium Calculation;2024-11-11 22:00:10.397557;Client Desk D;USD/CHF;Vanilla Call;Summit;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_100;Trade Matching;2024-11-11 22:48:10.397557;Client Desk D;USD/CHF;Vanilla Call;Summit;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_100;Trade Confirmation;2024-11-11 22:58:10.397557;Client Desk D;USD/CHF;Vanilla Call;Summit;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_100;Strategy Validation;2024-11-11 23:30:10.397557;Client Desk D;USD/CHF;Vanilla Call;Summit;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_100;Quote Provided;2024-11-11 23:43:10.397557;Client Desk D;USD/CHF;Vanilla Call;Summit;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_100;Exercise Decision;2024-11-12 00:03:10.397557;Client Desk D;USD/CHF;Vanilla Call;Summit;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_100;Trade Validation;2024-11-12 00:54:10.397557;Client Desk D;USD/CHF;Vanilla Call;Summit;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_100;Regulatory Reporting Generation;2024-11-12 00:56:10.397557;Client Desk D;USD/CHF;Vanilla Call;Summit;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_100;Final Settlement;2024-11-12 01:43:10.397557;Client Desk D;USD/CHF;Vanilla Call;Summit;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_100;Transaction Reporting Check;2024-11-12 03:44:10.397557;Client Desk D;USD/CHF;Vanilla Call;Summit;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_100;Risk Assessment;2024-11-12 04:09:10.397557;Client Desk D;USD/CHF;Vanilla Call;Summit;Hedge Fund;Vol Surface Trading;;;;;;;;3.14;82%
Case_100;Greeks Calculation;2024-11-12 04:48:10.397557;Client Desk D;USD/CHF;Vanilla Call;Summit;Hedge Fund;Vol Surface Trading;;;;0.88;0.178;10352.7;-893.59;;
Case_100;Settlement Instructions;2024-11-12 04:56:10.397557;Client Desk D;USD/CHF;Vanilla Call;Summit;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_100;Initial Margin Calculation;2024-11-12 05:42:10.397557;Client Desk D;USD/CHF;Vanilla Call;Summit;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_100;Premium Settlement;2024-11-12 06:14:10.397557;Client Desk D;USD/CHF;Vanilla Call;Summit;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_100;Trade Reconciliation;2024-11-12 09:14:10.397557;Client Desk D;USD/CHF;Vanilla Call;Summit;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_100;Credit Check;2024-11-12 09:52:10.397557;Client Desk D;USD/CHF;Vanilla Call;Summit;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_100;Collateral Management;2024-11-12 11:48:10.397557;Client Desk D;USD/CHF;Vanilla Call;Summit;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_100;Best Execution Validation;2024-11-12 12:06:10.397557;Client Desk D;USD/CHF;Vanilla Call;Summit;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_100;Trade Allocation;2024-11-12 12:18:10.397557;Client Desk D;USD/CHF;Vanilla Call;Summit;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_100;Trade Transparency Assessment;2024-11-12 14:53:10.397557;Client Desk D;USD/CHF;Vanilla Call;Summit;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_1000;Trade Initiated;2024-10-30 19:18:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;;;;;;
Case_1000;Market Data Validation;2024-10-30 19:33:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;;;;;;
Case_1000;Volatility Surface Analysis;2024-10-30 20:04:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;;;;;;
Case_1000;Quote Requested;2024-10-30 20:46:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;;;;;;
Case_1000;Quote Provided;2024-10-30 20:48:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;;;;;;
Case_1000;Premium Calculation;2024-10-30 21:21:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;;;;;;
Case_1000;Trade Matching;2024-10-30 21:38:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;;;;;;
Case_1000;Trade Allocation;2024-10-30 22:14:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;;;;;;
Case_1000;Greeks Calculation;2024-10-30 22:20:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;-0.46;0.1;23848.98;-536.6;;
Case_1000;Collateral Management;2024-10-30 23:09:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;;;;;;
Case_1000;Credit Check;2024-10-30 23:18:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;;;;;;
Case_1000;Trade Execution;2024-10-30 23:48:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;1.0236;0.0059;35758306.0;;;;;;
Case_1000;Trade Confirmation;2024-10-31 00:42:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;;;;;;
Case_1000;Settlement Instructions;2024-10-31 00:48:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;;;;;;
Case_1000;Final Settlement;2024-10-31 00:54:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;;;;;;
Case_1000;Premium Settlement;2024-10-31 02:54:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;;;;;;
Case_1000;Trade Validation;2024-10-31 04:17:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;;;;;;
Case_1000;Strategy Validation;2024-10-31 04:42:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;;;;;;
Case_1000;Client Limit Validation;2024-10-31 07:48:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;;;;;;
Case_1000;ISDA Master Agreement Check;2024-10-31 07:57:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;;;;;;
Case_1000;KYC Refresh Check;2024-10-31 08:18:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;;;;;;
Case_1000;Initial Margin Calculation;2024-10-31 08:33:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;;;;;;
Case_1000;Trade Reconciliation;2024-10-31 09:58:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;;;;;;
Case_1000;Risk Assessment;2024-10-31 12:01:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;;;;;4.36;25%
Case_1000;Position Reconciliation;2024-10-31 12:24:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;;;;;;
Case_1000;CSA Verification;2024-10-31 12:54:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;;;;;;
Case_1000;Exercise Decision;2024-10-31 14:18:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;;;;;;